Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Cordarrelle Patterson,ATL,37.7,169.8,1.1,18.2,147.5,0.9,0.2,43.3
Joshua Kelley,LAC,80,288.1,1.7,7.1,49.1,0.2,1.1,42.6
Kyle Juszczyk,SF,12.1,42.1,0.7,22.7,230,2,0.5,42.5
Chuba Hubbard,CAR,58.9,226.9,1.8,10.7,84.3,0.3,0.8,42.4
Samaje Perine,CIN,52.5,246,1.7,8.9,63.8,0.2,0.3,41.8
Benny Snell Jr.,PIT,60.6,257.7,1.6,7.8,52.8,0.1,0.7,40
Kenneth Gainwell,PHI,49.7,209,1.4,11.7,92.2,0.5,0.8,40
Tony Jones Jr.,NO,62.9,203.3,1.5,9.7,75.6,0.4,0.3,38.2
DeeJay Dallas,SEA,40.2,160.4,1.2,14.5,105.1,0.7,0.6,36.5
Brandon Bolden,NE,25.2,123.9,2.5,4.3,43.8,0.6,0,35.3
Elijah Mitchell,SF,41.2,184.6,1.3,8.6,74.6,0.3,0.1,35.1
Trayveon Williams,CIN,45.4,193.8,1.2,12.5,101.8,0.5,3,33.6
Jerick McKinnon,KC,29.9,132,0.7,14.8,110.2,0.6,0.2,31.6
Matt Breida,BUF,41.9,189.3,0.9,9.3,70,0.4,1,31.5
Jake Funk,LAR,32.9,164.8,1.1,8.2,58.5,0.2,0.3,29.5
Johnny Stanton,CLE,20,100,1,9,70,1,0,29
Jaret Patterson,WAS,40.1,179.3,1.1,5.4,37.2,0.2,0.3,29
Mike Boone,DEN,38.1,172.9,1.3,5,33.8,0.1,0.6,28
JaMycal Hasty,SF,25.6,156,0.9,7.8,53.6,0.1,0.1,27.1
Rex Burkhead,HOU,23.8,84.6,0.8,10.3,96.7,0.8,0.4,26.7
Chris Evans,CIN,32.3,134.8,0.8,10.6,74.3,0.2,0.2,26.5
Jaylen Samuels,PIT,37,155.9,0.9,5,31.1,0.3,0,25.4
Jermar Jefferson,DET,34.6,147.3,0.7,7.7,55.3,0.2,0.2,25.2
Anthony McFarland Jr.,PIT,32.9,152.1,0.8,6.9,49.2,0.2,0.5,24.9
Sewo Olonilua,DAL,0,119.4,0.8,8.1,59,0.4,0.2,24.8
Kylin Hill,GB,26.8,143.9,0.6,7.8,58.8,0.2,0.2,24.5
J.J. Taylor,NE,18.9,140.2,1,4.9,34.1,0.2,0.3,24.2
Larry Rountree III,LAC,33.1,135,1.3,3.8,25.4,0.1,0.2,23.9
Rico Dowdle,DAL,33,136,1,4,34,0,0,23
Caleb Huntley,ATL,36,148,1,2,14,0,0,22.2
Peyton Barber,LV,37.7,125.9,1.1,4.5,27,0.1,0.4,21.4
