Player,Team,REC,YDS,TDS,FL,FPTS
Mason Schreck,CIN,3.5,36.8,0.3,0,5.3
Colby Parkinson,SEA,2.8,29.6,0.3,0,4.7
Eric Tomlinson,BAL,2.8,28.8,0.3,0,4.5
Dominique Dafney,GB,2.4,25.7,0.2,0,3.8
Lee Smith,ATL,2.5,24.6,0.2,0,3.6
Tanner Hudson,SF,2.1,23,0.2,0,3.6
Zach Davidson,MIN,2.4,24,0.2,0,3.5
Sean McKeon,DAL,2.5,25.8,0.2,0,3.5
Cethan Carter,MIA,2.6,25.4,0.1,0,3.3
Trevon Wesco,NYJ,2.3,24.4,0.1,0,3.2
Eric Saubert,DEN,2.3,22.9,0.1,0,3.1
Luke Willson,SEA,1.8,20.3,0.2,0,3.1
Kaden Smith,NYG,2.5,21.7,0.1,0,2.9
Matt LaCosse,NE,1.9,20,0.2,0,2.9
Farrod Green,IND,1.8,17.9,0.1,0,2.5
Codey McElroy,TB,1.5,15.6,0.2,0,2.5
Garrett Griffin,NO,0.9,9.6,0.1,0,1.4
Kevin Rader,PIT,0.9,9.3,0,0,1.2
Isaac Nauta,GB,0.8,8.2,0,0,1.1
Deon Yelder,TB,0.8,7.3,0,0,0.8
Jason Croom,PHI,0.8,8.5,0,0,0.8
Hakeem Butler,PHI,0.8,8.4,0,0,0.8
Jesper Horsted,CHI,0.8,8.3,0,0,0.8
Colin Thompson,CAR,0.7,6.7,0,0,0.7
